paper_id,title,authors,year,doi,has_pdf,FINAL_reason
13,Role of Sleep and White Matter in the Link Between Screen Time and Depression in Childhood and Early Adolescence.,,2025,10.1001/jamapediatrics.2025.1718,False,at least one criterion UNKNOWN with no PDF
27,Prospective association of screen time with binge-eating disorder among adolescents in the United States: The mediating role of depression.,,2024,10.1002/eat.24169,False,at least one criterion UNKNOWN with no PDF
162,Risk and protective factors for childhood suicidality: a US population-based study.,,2020,10.1016/s2215-0366(20)30049-3,False,at least one criterion UNKNOWN with no PDF
303,Multiâlevel predictors of depression symptoms in the Adolescent Brain Cognitive Development (ABCD) study,,,10.1111/jcpp.13608,False,at least one criterion UNKNOWN with no PDF
380,Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study.,,2026,10.1177/10445463251415488,False,at least one criterion UNKNOWN with no PDF
394,Screen time and mental health: a prospective analysis of the Adolescent Brain Cognitive Development (ABCD) Study,,,10.1186/s12889-024-20102-x?os=io....&ref=app,False,at least one criterion UNKNOWN with no PDF
