title,authors,year,source,link,snippet,cited_by,pdf_link,gs_position,query
The Relationship Between TikTok Usage and Executive Function Is Mediated by Problematic Social Media Use,"J Golding, A Rallison, K Zhang, A Awan, F Romero…",,mdpi.com,https://www.mdpi.com/2076-328X/15/12/1748,"… The present study investigates the relationship between TikTok usage, problematic social media use (PSMU), and executive function (EF) to distinguish platform-specific features from …",2,,12,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Testing Bidirectional Associations Between Screen Time and Inattention/Hyperactivity Symptoms From Childhood to Adulthood in a Brazilian Cohort,"RK Bombardelli, PP Bado, JPG Pacheco…",,pmc.ncbi.nlm.nih.gov,https://pmc.ncbi.nlm.nih.gov/articles/PMC12330443/,"Background: Screen time has been linked with inattention/hyperactivity symptoms, but studies often do not distinguish within- from between-person associations over long …",,,14,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Problematic social media use and its relationship with depression or anxiety: a systematic review,"LS Lopes, JP Valentini, TH Monteiro…",,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1089/cyber.2021.0300,… Our understanding of problematic social media use is any behavior negatively impacting an individual. Relevant factors include what the individual expects from social media and how …,222,,18,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Exploring fear of missing out and problematic social media use among Generation Alpha: a random intercept cross-lagged panel model and cross-lagged panel …,"X Fang, J Yang, B Liu, Y Wang, J Liao, L Lei",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306460325002503,This study aimed to examine the variable- and symptom-level relationships between fear of missing out and problematic social media use among early adolescents from Generation …,1,,19,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
56.3 “Would You Say My Child Is Addicted?”: Lending Principles of Addiction Treatment to Families and Adolescents Worried About Social Media,P Jackson,,jaacap.org,https://www.jaacap.org/article/S0890-8567(22)00717-1/abstract,"… comprehensive data, the ABCD study is poised to … by problematic social media use; and 4) recognize tools for guiding parents who feel that their children have problematic social media …",,,20,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
56.4 accomplishing change in this digital world,S Krakower,,jaacap.org,https://www.jaacap.org/article/S0890-8567(22)00718-3/abstract,"… comprehensive data, the ABCD study is poised to … by problematic social media use; and 4) recognize tools for guiding parents who feel that their children have problematic social media …",4,https://www.jaacap.org/article/S0890-8567(22)00718-3/pdf,1,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
"Problematic Social Media use in Individuals with ADHD: Associations with Screen Time, Motives, Content, and Psychosocial Functioning","LB Thorell, M Dorrestein, P Wurth, M Burger…",,Springer,https://link.springer.com/article/10.1007/s11469-025-01582-3,… Our findings provide valuable insights for developing effective prevention and support programs targeting problematic social media use among individuals with ADHD. …,,https://link.springer.com/content/pdf/10.1007/s11469-025-01582-3.pdf,2,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
"Problematic social media use, digital gaming addiction and excessive screen time among Turkish adolescents during remote schooling: implications on mental and …","GC Bulut, S Gokce",,dergipark.org.tr,https://dergipark.org.tr/en/pub/marumj/issue/75706/1244628,"… higher rates of problematic social media use among female … similar gender differences in problematic social media use [35-… Finally, problematic social media use was linked to lower …",11,https://dergipark.org.tr/en/download/article-file/2926392,3,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
1.4 Development of Webcam-Collected and Artificial-Intelligence–Derived Social and Cognitive Performance Measures for Neurodevelopmental and Neurogenetic …,"TW Frazier, M Uljarevic, A Hardan",,jaacap.org,https://www.jaacap.org/article/S0890-8567(24)01001-3/abstract,… a SBIRT framework for problematic social media use. We … awareness to screen for problematic social media use and to … panel models were applied to the ABCD study data (n = 4641…,,https://www.jaacap.org/article/S0890-8567(24)01001-3/pdf,4,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Loneliness as a predictor for problematic social media use associated with sleep disruption,K Mercer,,scholarworks.bgsu.edu,https://scholarworks.bgsu.edu/honorsprojects/973/,"… I hypothesize that loneliness will predict problematic social media use, and that problematic social media use will be associated with disruptions in falling and staying asleep. …",,https://scholarworks.bgsu.edu/cgi/viewcontent.cgi?article=2089&context=honorsprojects,5,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Problematic social media use among Polish adolescents: psychological factors predicting longitudinal trajectories,"P Roczon, P Holas, P Plaskota",,researchgate.net,https://www.researchgate.net/profile/Pawel-Holas/publication/395844723_Problematic_social_media_use_among_Polish_adolescents_psychological_factors_predicting_longitudinal_trajectories/links/68d5a5a602d6215259b4ec6b/Problematic-social-media-use-among-Polish-adolescents-psychological-factors-predicting-longitudinal-trajectories.pdf,… This study provides novel longitudinal evidence for heterogeneous developmental pathways of problematic social media use in adolescence. By identifying three distinct symptom …,,https://www.researchgate.net/profile/Pawel-Holas/publication/395844723_Problematic_social_media_use_among_Polish_adolescents_psychological_factors_predicting_longitudinal_trajectories/links/68d5a5a602d6215259b4ec6b/Problematic-social-media-use-among-Polish-adolescents-psychological-factors-predicting-longitudinal-trajectories.pdf,6,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
On the edge of the social media landscape: associations with adolescent substance use and moderation by parental rules,"H Bozhar, SR de Rooij, A Lok, T Vrijkotte…",,academic.oup.com,https://academic.oup.com/jpubhealth/article-abstract/47/1/90/7904785,"… Adolescent problematic social media use (PSMU) has been increasing. Digital engagement … for their assistance in implementing the ABCD study, and also thank all participating mothers…",7,https://academic.oup.com/jpubhealth/article-pdf/47/1/90/60751443/fdae290.pdf,7,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
The relationship between social media use and adolescent inattention and impulsivity: A systematic review,"RA Fabio, G Picciotto",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0891422226000326,"… Across both clinical and non-clinical samples, most studies reported a significant association between problematic social media use and ADHD-related traits or symptoms, particularly …",,,8,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
"Preliminary findings on caffeine intake, screen time, social factors, and psychological well-being: their impact on chronotype and sleep health in Hispanic adolescents","AL Wallace, L Aguinaldo, ML Thomas…",,academic.oup.com,https://academic.oup.com/sleepadvances/article-abstract/6/2/zpaf019/8090424,"… This study utilized data from the ABCD study [34], a longitudinal, nationally representative cohort of adolescents in the United States. The current analysis focused on data from baseline …",3,https://academic.oup.com/sleepadvances/article-pdf/6/2/zpaf019/62523778/zpaf019.pdf,9,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Disparities in Early Lecanemab Uptake Among US Medicare Beneficiaries,"JM Nagata, CD Otmar, J Shim, P Balasubramanian…",,ovid.com,https://www.ovid.com/journals/janop/abstract/10.1001/jamanetworkopen.2025.11711~disparities-in-early-lecanemab-uptake-among-us-medicare,… board approval for the ABCD Study was received from the … a secondary analysis of deidentified ABCD Study and thus did … association between problematic social media use and …,,,10,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Social epidemiology of early adolescent alcohol expectancies,"JM Nagata, G Zamora, N Smith, OM Sajjad, J Shim…",,Springer,https://link.springer.com/article/10.1186/s12889-023-17434-5,"… The ABCD Study® is the largest longitudinal study of health and brain development in … Further details about the ABCD Study recruitment, participants, protocol, and measures have …",5,https://link.springer.com/content/pdf/10.1186/s12889-023-17434-5.pdf,11,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
142. Adolescent Social Media Use Trajectories and Cognitive Performance: Spatial and Verbal Memory,"J Nagata, J Wong, K Kim, S Nayak, E Li…",,jahonline.org,https://www.jahonline.org/article/S1054-139X(25)00688-3/abstract,… Future research should explore the association between problematic social media exposures and cognitive functioning in adolescents. …,,,13,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Predicting mental health trajectories after potentially traumatic events: a machine learning approach,"D Tutus, T Nayyar, JM Fegert, AC Haag",,Springer,https://link.springer.com/article/10.1007/s00787-026-03022-6,"… and externalizing problems among ABCD study participants who had experienced PTE(s). … Exposure to PTEs, especially cumulative stressors, can facilitate problematic social media …",,https://link.springer.com/content/pdf/10.1007/s00787-026-03022-6.pdf,14,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
